Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Actual end),Campo personalizado (Actual start),Campo personalizado (Aprobaciones),Campo personalizado (Change reason),Campo personalizado (Change risk),Campo personalizado (Change type),Campo personalizado (Epic Color),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Formularios abiertos),Campo personalizado (Formularios bloqueados),Campo personalizado (Formularios enviados),Campo personalizado (Impact),Campo personalizado (Issue color),Campo personalizado (Metas),Campo personalizado (Project overview key),Campo personalizado (Project overview status),Campo personalizado (Proyecto),Campo personalizado (Rank),Campo personalizado (Request Type),Campo personalizado (Sentiment),Campo personalizado (Start date),Campo personalizado (Story Points),Campo personalizado (Story point estimate),Campo personalizado (Target end),Campo personalizado (Target start),Campo personalizado (Team),Campo personalizado (Total de formularios),Campo personalizado (Vulnerability),Campo personalizado (Vulnerability),Campo personalizado ([CHART] Date of First Response),Campo personalizado ([CHART] Time in Status),Campo personalizado (development),Campo personalizado (Áreas de enfoque),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Frontend,AMFAR-32,10414,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:13 AM,26/may/26 10:14 AM,,,,0,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,7200,7200,,0 %,7200,7200,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38b2f97d,,,,,,,,,,,,,,,,0|i000x3:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:13 AM,10395,AMFAR-13,HU-07 Administración de planes académicos
Backend,AMFAR-31,10413,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:13 AM,26/may/26 10:14 AM,,,,0,"* Crear tabla PLANES
* Crear lógica descuentos
* CRUD planes
* CRUD descuentos
* Validar permisos por rol
* Validar estados activos",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71efb110,,,,,,,,,,,,,,,,0|i000wv:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:13 AM,10395,AMFAR-13,HU-07 Administración de planes académicos
Frontend,AMFAR-30,10412,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:12 AM,26/may/26 10:13 AM,,,,0,"* Mostrar disponibilidad en tiempo real
* Mostrar conflictos
* Mostrar opción instrumento propio
* Consumir validaciones
* Mostrar mensajes de bloqueo",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74e676ec,,,,,,,,,,,,,,,,0|i000wn:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:12 AM,10394,AMFAR-12,HU-06 Préstamo automático de instrumentos
Backend,AMFAR-29,10411,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:12 AM,26/may/26 10:13 AM,,,,0,"* Crear lógica de préstamo
* Validar disponibilidad por horario
* Validar conflictos
* Registrar préstamo automático
* Liberar instrumento automáticamente
* Crear endpoints de validación",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,18000,18000,,0 %,18000,18000,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6bdb8be,,,,,,,,,,,,,,,,0|i000wf:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:12 AM,10394,AMFAR-12,HU-06 Préstamo automático de instrumentos
Frontend,AMFAR-28,10410,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:12 AM,26/may/26 10:12 AM,,,,0,"* Crear módulo instrumentos
* Crear formulario instrumentos
* Crear listado de instrumentos
* Mostrar stock disponible
* Mostrar disponibilidad",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,7200,7200,,0 %,7200,7200,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3680f6bc,,,,,,,,,,,,,,,,0|i000w7:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:12 AM,10393,AMFAR-11,HU-05 Administración de instrumentos
Backend,AMFAR-27,10409,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:12 AM,26/may/26 10:12 AM,,,,0,"* Crear tabla INSTRUMENTO
* Crear CRUD instrumentos
* Implementar control de stock
* Crear endpoint disponibilidad
* Validar estados de instrumentos",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26138c46,,,,,,,,,,,,,,,,0|i000vz:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:12 AM,10393,AMFAR-11,HU-05 Administración de instrumentos
Frontend,AMFAR-26,10408,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:11 AM,26/may/26 10:11 AM,,,,0,"* Crear módulo profesores
* Crear formulario profesor
* Crear listado de profesores
* Crear edición de profesores
* Mostrar especialidades
* Implementar activación/desactivación",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,7200,7200,,0 %,7200,7200,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3336f596,,,,,,,,,,,,,,,,0|i000vr:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:11 AM,10392,AMFAR-10,HU-04 Registro y administración de profesores
Backend,AMFAR-25,10407,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:11 AM,26/may/26 10:11 AM,,,,0,"* Crear tabla PROFESOR
* Crear CRUD profesores
* Implementar especialidades
* Validar profesores activos
* Crear endpoints de consulta",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36e8f2b5,,,,,,,,,,,,,,,,0|i000vj:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:11 AM,10392,AMFAR-10,HU-04 Registro y administración de profesores
Frontend,AMFAR-24,10406,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:09 AM,26/may/26 10:11 AM,,,,0,"* Crear módulo alumnos
* Crear formulario registro alumno
* Crear formulario tutores
* Implementar asociación tutor-alumno
* Crear listado de alumnos
* Crear búsqueda y filtros
* Crear edición de alumno",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@36654da3,,,,,,,,,,,,,,,,0|i000vb:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:09 AM,10391,AMFAR-9,HU-03 Registro de alumnos y tutores
Backend,AMFAR-23,10405,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,High,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:09 AM,26/may/26 10:10 AM,28/may/26 10:01 AM,,,0,"* Crear tablas:
** PERSONA
** ESTUDIANTE
** TUTOR
* Crear relación tutor-alumno
* Crear endpoints CRUD alumnos
* Crear endpoints CRUD tutores
* Validar estados activos/inactivos
* Implementar búsqueda de alumnos
* Validar múltiples tutores",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,18000,18000,,0 %,18000,18000,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43ea7198,,,,,,,,,,,,,,,,0|i000v3:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:09 AM,10391,AMFAR-9,HU-03 Registro de alumnos y tutores
